[UserID,RoundID,ProfileID,#Ratings,Mean,5star%,4star%,3star%,2star%,1star%,Rank,TimeStampStart,TimeStampEnd]
9;1;1;20;3.6;0%;70%;25%;0%;5%;3;1527327197;1527327207;
9;1;2;80;4;45%;20%;20%;15%;0%;1;1527327197;1527327207;
9;1;3;80;4;40%;35%;5%;20%;0%;2;1527327197;1527327207;
9;1;4;20;3.6;15%;40%;38%;5%;2%;5;1527327197;1527327207;
9;1;5;20;3.6;30%;18%;33%;20%;0%;4;1527327197;1527327207;
9;1;6;80;4;27%;47%;23%;3%;0%;6;1527327197;1527327207;
9;2;7;80;3.6;15%;40%;38%;5%;2%;5;1527327207;1527327230;
9;2;8;20;4;40%;35%;5%;20%;0%;1;1527327207;1527327230;
9;2;9;80;4;35%;27%;37%;2%;0%;2;1527327207;1527327230;
9;2;10;20;4;45%;20%;20%;15%;0%;3;1527327207;1527327230;
9;2;11;80;3.6;0%;70%;25%;0%;5%;6;1527327207;1527327230;
9;2;12;20;3.6;25%;35%;25%;10%;5%;4;1527327207;1527327230;
9;3;13;80;4;27%;47%;23%;3%;0%;6;1527327230;1527327239;
9;3;14;20;3.6;30%;18%;33%;20%;0%;1;1527327230;1527327239;
9;3;15;20;4;27%;47%;23%;3%;0%;2;1527327230;1527327239;
9;3;16;80;3.6;30%;18%;33%;20%;0%;4;1527327230;1527327239;
9;3;17;80;3.6;25%;35%;25%;10%;5%;3;1527327230;1527327239;
9;3;18;20;4;35%;27%;37%;2%;0%;5;1527327230;1527327239;
9;4;19;40;4;35%;35%;20%;10%;0%;3;1527327239;1527327248;
9;4;20;20;3.8;30%;33%;25%;13%;0%;1;1527327239;1527327248;
9;4;21;10;3.8;30%;33%;25%;13%;0%;2;1527327239;1527327248;
9;4;22;160;3.6;20%;35%;30%;15%;0%;4;1527327239;1527327248;
9;4;23;80;3.6;20%;35%;30%;15%;0%;5;1527327239;1527327248;
9;4;24;320;4;35%;35%;20%;10%;0%;6;1527327239;1527327248;
9;5;25;160;3.8;30%;33%;25%;13%;0%;4;1527327248;1527327259;
9;5;26;320;3.6;20%;35%;30%;15%;0%;1;1527327248;1527327259;
9;5;27;10;4;35%;35%;20%;10%;0%;3;1527327248;1527327259;
9;5;28;10;3.6;20%;35%;30%;15%;0%;5;1527327248;1527327259;
9;5;29;80;3.8;30%;33%;25%;13%;0%;2;1527327248;1527327259;
9;5;30;80;4;35%;35%;20%;10%;0%;6;1527327248;1527327259;
9;6;31;320;3.8;30%;35%;25%;15%;0%;4;1527327259;1527327268;
9;6;32;20;3.6;20%;35%;30%;15%;0%;1;1527327259;1527327268;
9;6;33;160;4;35%;35%;20%;10%;0%;2;1527327259;1527327268;
9;6;34;40;3.6;20%;35%;30%;15%;0%;6;1527327259;1527327268;
9;6;35;20;4;35%;35%;20%;10%;0%;5;1527327259;1527327268;
9;6;36;40;3.8;30%;33%;25%;13%;0%;3;1527327259;1527327268;
9;7;37;80;3.6;20%;45%;15%;15%;5%;3;1527327268;1527327276;
9;7;38;80;4;35%;35%;30%;0%;0%;1;1527327268;1527327276;
9;7;39;20;3.6;20%;25%;55%;0%;0%;2;1527327268;1527327276;
9;7;40;80;4;40%;35%;15%;10%;0%;4;1527327268;1527327276;
9;7;41;20;3.8;30%;30%;30%;10%;0%;5;1527327268;1527327276;
9;7;42;20;3.8;30%;40%;15%;10%;5%;6;1527327268;1527327276;
9;8;43;80;3.8;30%;40%;15%;10%;5%;3;1527327276;1527327287;
9;8;44;80;3.6;20%;25%;55%;0%;0%;2;1527327276;1527327287;
9;8;45;20;4;40%;30%;20%;5%;5%;1;1527327276;1527327287;
9;8;46;80;3.8;30%;30%;30%;10%;0%;4;1527327276;1527327287;
9;8;47;20;4;35%;35%;30%;0%;0%;6;1527327276;1527327287;
9;8;48;20;3.6;20%;35%;30%;15%;0%;5;1527327276;1527327287;
9;9;49;80;3.8;25%;35%;40%;0%;0%;4;1527327287;1527327336;
9;9;50;20;3.8;25%;35%;40%;0%;0%;1;1527327287;1527327336;
9;9;51;80;3.6;20%;35%;30%;15%;0%;2;1527327287;1527327336;
9;9;52;80;4;40%;30%;20%;5%;5%;3;1527327287;1527327336;
9;9;53;20;3.6;20%;45%;15%;15%;5%;6;1527327287;1527327336;
9;9;54;20;4;40%;35%;15%;10%;0%;5;1527327287;1527327336;
9;10;55;80;3.6;0%;80%;10%;0%;10%;4;1527327336;1527327352;
9;10;56;80;4;30%;50%;10%;10%;0%;1;1527327336;1527327352;
9;10;57;20;3.6;20%;30%;40%;10%;0%;3;1527327336;1527327352;
9;10;58;80;4;37%;37%;17%;10%;0%;5;1527327336;1527327352;
9;10;59;20;3.8;30%;33%;27%;10%;0%;2;1527327336;1527327352;
9;10;60;20;3.8;35%;10%;55%;0%;0%;6;1527327336;1527327352;
9;11;61;80;3.8;35%;10%;55%;0%;0%;5;1527327352;1527327362;
9;11;62;80;3.6;20%;30%;40%;10%;0%;4;1527327352;1527327362;
9;11;63;20;4;40%;40%;5%;15%;0%;3;1527327352;1527327362;
9;11;64;80;3.8;30%;33%;27%;10%;0%;1;1527327352;1527327362;
9;11;65;20;4;30%;50%;10%;10%;0%;2;1527327352;1527327362;
9;11;66;20;3.6;23%;30%;30%;17%;0%;6;1527327352;1527327362;
9;12;67;80;3.8;30%;30%;30%;10%;0%;3;1527327362;
9;12;68;20;3.8;30%;30%;30%;10%;0%;1;1527327362;
9;12;69;80;3.6;23%;30%;30%;17%;0%;2;1527327362;
9;12;70;80;4;40%;40%;5%;15%;0%;5;1527327362;
9;12;71;20;3.6;0%;80%;10%;0%;10%;4;1527327362;
9;12;72;20;4;37%;37%;17%;10%;0%;6;1527327362;
